name,nii_file,nii_file_id,4dvolind
15_to_66,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,66
15_to_67,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,67
15_to_68,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,68
15_to_69,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,69
15_to_70,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,70
15_to_71,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,71
15_to_72,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,72
15_to_73,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,73
15_to_74,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,74
15_to_75,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,75
15_to_76,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,76
15_to_77,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,77
15_to_78,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,78
15_to_79,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,79
15_to_80,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,80
15_to_81,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,81
15_to_82,vismap_grp_cat_rois_v2_15_norm.nii.gz,15,82
16_to_0,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,0
16_to_1,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,1
16_to_2,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,2
16_to_3,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,3
16_to_4,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,4
16_to_5,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,5
16_to_6,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,6
16_to_7,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,7
16_to_8,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,8
16_to_9,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,9
16_to_10,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,10
16_to_11,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,11
16_to_12,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,12
16_to_13,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,13
16_to_14,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,14
16_to_15,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,15
16_to_16,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,16
16_to_17,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,17
16_to_18,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,18
16_to_19,vismap_grp_cat_rois_v2_16_norm.nii.gz,16,19
